Make,Model,CO2 Emissions(g/km)
ACURA,TLX SH-AWD,221
ASTON MARTIN,RAPIDE S,327
ASTON MARTIN,V12 VANTAGE S,379
ASTON MARTIN,VANTAGE GT,338
AUDI,A3,200
AUDI,A3 TDI (modified),177
AUDI,A3 QUATTRO,198
AUDI,A3 CABRIOLET QUATTRO,205
AUDI,A4 ALLROAD QUATTRO,228
AUDI,Q3,237
AUDI,Q3 QUATTRO,237
AUDI,S3,207
BENTLEY,CONTINENTAL GT CONVERTIBLE,337
BENTLEY,CONTINENTAL GT3-R,327
BMW,228i CABRIOLET,205
BMW,228i COUPE,193
BMW,228i xDRIVE CABRIOLET,209
BMW,228i xDRIVE COUPE,200
BMW,320i SEDAN,193
BMW,320i xDRIVE SEDAN,200
BMW,328d xDRIVE SEDAN,181
BMW,328i SEDAN,193
BMW,328i xDRIVE SEDAN,209
BMW,335i SEDAN,221
BMW,335i xDRIVE SEDAN,230
BMW,428i CABRIOLET,205
BMW,428i GRAN COUPE,205
BMW,428i xDRIVE CABRIOLET,221
BMW,428i xDRIVE GRAN COUPE,209
BMW,435i CABRIOLET,228
BMW,435i GRAN COUPE,221
BMW,435i xDRIVE CABRIOLET,237
BMW,435i xDRIVE GRAN COUPE,230
BMW,528i SEDAN,205
BMW,528i xDRIVE SEDAN,209
BMW,535d xDRIVE SEDAN,213
BMW,535i xDRIVE SEDAN,237
BMW,550i xDRIVE SEDAN,283
BMW,640i xDRIVE CABRIOLET,237
BMW,740Ld xDRIVE SEDAN,238
BMW,740Li xDRIVE SEDAN,237
BMW,750i xDRIVE SEDAN,294
BMW,750Li xDRIVE SEDAN,294
BMW,760Li SEDAN,356
BMW,ALPINA B6 xDRIVE GRAN COUPE,294
BMW,M235i CABRIOLET,235
BMW,M235i COUPE,235
BMW,M235i xDRIVE COUPE,230
BMW,M3 SEDAN,278
BMW,M4 CABRIOLET,278
BMW,M4 COUPE,278
BMW,M5 SEDAN,338
BMW,M6 COUPE,338
BMW,X3 xDRIVE28d,213
BMW,X4 xDRIVE28i,235
BMW,X4 xDRIVE35i,251
BMW,X5 M,336
BMW,X5 xDRIVE35d,235
CADILLAC,CTS,228
CADILLAC,CTS AWD,244
CADILLAC,CTS Vsport,292
CADILLAC,ESCALADE 4WD,322
CADILLAC,ESCALADE ESV 4WD,334
CHEVROLET,CAMARO Z/28,357
CHEVROLET,CITY EXPRESS,216
CHEVROLET,COLORADO,242
CHEVROLET,COLORADO 4WD,260
CHEVROLET,CORVETTE Z06,329
CHEVROLET,EQUINOX FFV,209
CHEVROLET,EQUINOX AWD FFV,230
