Make,Model,CO2 Emissions(lbs/mile)
PORSCHE,911 CARRERA 4S CABRIOLET,0.346650181
PORSCHE,911 CARRERA CABRIOLET,0.317876846
PORSCHE,911 CARRERA S,0.334318752
PORSCHE,911 CARRERA S CABRIOLET,0.337059069
PORSCHE,911 GT3,0.441191139
PORSCHE,911 TURBO,0.375423516
PORSCHE,911 TURBO CABRIOLET,0.375423516
PORSCHE,911 TURBO S,0.375423516
PORSCHE,911 TURBO S CABRIOLET,0.375423516
PORSCHE,BOXSTER,0.290473669
PORSCHE,BOXSTER S,0.308285734
PORSCHE,CAYENNE,0.397346057
PORSCHE,CAYENNE DIESEL (modified),0.379533993
PORSCHE,CAYENNE GTS,0.46311368
PORSCHE,CAYENNE S,0.424749234
PORSCHE,CAYENNE S HYBRID,0.343909863
PORSCHE,CAYENNE TURBO,0.446671775
PORSCHE,CAYENNE TURBO S,0.490516857
PORSCHE,CAYMAN,0.290473669
PORSCHE,CAYMAN S,0.308285734
PORSCHE,PANAMERA,0.343909863
PORSCHE,PANAMERA 4,0.349390499
PORSCHE,PANAMERA 4S,0.356241293
PORSCHE,PANAMERA 4S EXECUTIVE,0.361721928
PORSCHE,PANAMERA GTS,0.400086375
PORSCHE,PANAMERA S,0.356241293
PORSCHE,PANAMERA TURBO,0.402826692
PORSCHE,PANAMERA TURBO EXECUTIVE,0.406937169
RAM,1500 (MDS),0.465853998
RAM,1500 4X4 (MDS),0.485036222
RAM,1500 4X4 DIESEL,0.391865422
RAM,1500 4X4 FFV,0.397346057
RAM,1500 DIESEL,0.376793675
RAM,1500 FFV,0.375423516
RAM,1500 HFE,0.356241293
RAM,CARGO VAN FFV,0.35898161
ROLLS-ROYCE,GHOST,0.504218445
ROLLS-ROYCE,GHOST EWB,0.504218445
ROLLS-ROYCE,PHANTOM,0.538472415
ROLLS-ROYCE,PHANTOM COUPE,0.538472415
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,0.538472415
ROLLS-ROYCE,PHANTOM EWB,0.538472415
ROLLS-ROYCE,WRAITH,0.491887016
SCION,FR-S,0.264440652
SCION,iQ,0.195932711
SCION,tC,0.283622875
SCION,xB,0.31239621
SCION,xD,0.252109222
SMART,FORTWO CABRIOLET,0.201413346
SMART,FORTWO COUPE,0.201413346
SRT,VIPER COUPE,0.53299178
SRT,VIPER GTS COUPE,0.53299178
SUBARU,BRZ,0.268551128
SUBARU,FORESTER AWD,0.298694622
SUBARU,IMPREZA AWD,0.245258428
SUBARU,IMPREZA WAGON AWD,0.245258428
SUBARU,LEGACY AWD,0.271291446
SUBARU,OUTBACK AWD,0.283622875
SUBARU,TRIBECA AWD,0.412417804
SUBARU,XV CROSSTREK AWD,0.268551128
SUBARU,XV CROSSTREK HYBRID AWD,0.242518111
